<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,D,15/02/13,000000,58.1500000,58.1500000,51.2300000,55.0000000,5897620
MOEX,D,18/02/13,000000,55.0000000,56.6000000,54.1800000,56.0200000,2767350
MOEX,D,19/02/13,000000,56.5000000,56.6000000,55.9500000,56.0000000,1761230
MOEX,D,20/02/13,000000,56.3000000,56.5000000,54.9800000,55.4000000,1413600
MOEX,D,21/02/13,000000,55.0300000,55.3900000,54.4100000,54.7000000,519330
MOEX,D,22/02/13,000000,54.5000000,54.8600000,53.8900000,54.5000000,1229680
MOEX,D,25/02/13,000000,54.7600000,54.8000000,54.0700000,54.7500000,105930
MOEX,D,26/02/13,000000,54.5700000,54.7400000,52.5700000,54.4000000,1490440
MOEX,D,27/02/13,000000,54.2500000,54.2500000,53.4000000,54.2000000,2748950
MOEX,D,28/02/13,000000,54.7400000,54.7400000,53.5000000,53.8900000,341650
MOEX,D,01/03/13,000000,53.7000000,54.2800000,52.5000000,52.5000000,2183750
MOEX,D,04/03/13,000000,52.5000000,52.9700000,52.3000000,52.8000000,2048950
MOEX,D,05/03/13,000000,52.8800000,53.8000000,52.7000000,53.7500000,579530
MOEX,D,06/03/13,000000,53.3000000,54.2000000,53.3000000,53.8000000,1080540
MOEX,D,07/03/13,000000,53.4900000,54.2000000,53.4300000,53.9900000,572780
MOEX,D,11/03/13,000000,53.9800000,54.6000000,53.2700000,54.0000000,1553350
MOEX,D,12/03/13,000000,53.5200000,54.8000000,53.2800000,54.6000000,1707250
MOEX,D,13/03/13,000000,54.2300000,55.0800000,54.2200000,54.5500000,4353160
MOEX,D,14/03/13,000000,54.8000000,55.1500000,54.3000000,54.9000000,2690980
MOEX,D,15/03/13,000000,55.0000000,55.2400000,54.1600000,55.0000000,9059010
MOEX,D,18/03/13,000000,52.7500000,53.4300000,51.1000000,52.8500000,1133650
MOEX,D,19/03/13,000000,53.2000000,53.2000000,51.8700000,51.9600000,1403920
MOEX,D,20/03/13,000000,52.2000000,52.3600000,50.7600000,52.1200000,1013200
MOEX,D,21/03/13,000000,52.5700000,52.9600000,51.9500000,52.1300000,407400
MOEX,D,22/03/13,000000,52.3000000,52.3000000,51.5600000,51.9400000,455650
MOEX,D,25/03/13,000000,52.3800000,52.3800000,51.8000000,51.9200000,199820
MOEX,D,26/03/13,000000,51.5500000,52.0000000,50.3000000,51.4900000,338920
MOEX,D,27/03/13,000000,52.0300000,52.0300000,50.9000000,51.2600000,265490
MOEX,D,28/03/13,000000,51.0000000,51.0000000,48.8000000,48.8700000,628410
MOEX,D,29/03/13,000000,49.5100000,49.8700000,49.0000000,49.4800000,332070
MOEX,D,01/04/13,000000,50.1800000,50.1800000,49.1600000,49.6300000,79790
MOEX,D,02/04/13,000000,49.6300000,49.6300000,48.3800000,48.5900000,168370
MOEX,D,03/04/13,000000,48.5200000,48.5200000,47.8900000,48.2300000,133190
MOEX,D,04/04/13,000000,48.0700000,48.6500000,47.4200000,48.4300000,181760
MOEX,D,05/04/13,000000,48.4300000,48.6100000,47.5000000,48.5000000,123940
MOEX,D,08/04/13,000000,48.6700000,48.8800000,47.5000000,47.5200000,110510
MOEX,D,09/04/13,000000,48.2300000,48.2300000,47.4000000,47.4000000,209980
MOEX,D,10/04/13,000000,48.0000000,48.0000000,46.7500000,46.8700000,424170
MOEX,D,11/04/13,000000,47.2200000,47.6000000,45.7500000,45.7500000,602080
MOEX,D,12/04/13,000000,45.7000000,45.9700000,45.0000000,45.4500000,469350
MOEX,D,15/04/13,000000,45.5000000,46.2000000,45.4200000,45.6600000,1393630
